type	latitude	longitude	altitude (m)	name	desc
T	-12.010689892	-76.959667899	324.7	Ruta sin título	
T	-12.010685172	-76.959499069	326.7		
T	-12.010666257	-76.959270128	330.2		
T	-12.010661737	-76.959100952	333.0		
T	-12.010631706	-76.958999264	336.7		
T	-12.010592548	-76.958800142	342.8		
T	-12.010554895	-76.958600030	348.8		
T	-12.010554186	-76.958463567	351.7		
T	-12.010549733	-76.958260816	357.0		
T	-12.010520037	-76.958023269	366.0		
T	-12.010545503	-76.957907810	368.8		
T	-12.010568112	-76.957610098	378.0		
T	-12.010578764	-76.957469021	383.2		
T	-12.010607326	-76.957252359	394.7		
T	-12.010632187	-76.957071666	404.5		
T	-12.010652348	-76.956960775	410.6		
T	-12.010708720	-76.956732963	423.2		
T	-12.010713047	-76.956584974	430.6		
T	-12.010778439	-76.956388572	438.7		
T	-12.010794840	-76.956236957	445.3		
T	-12.010829271	-76.956122049	450.2		
T	-12.010892217	-76.955820177	464.4		
T	-12.010924625	-76.955675035	464.8		
T	-12.010898860	-76.955543589	463.4		
T	-12.010812423	-76.955403279	459.6		
T	-12.010772778	-76.955286697	457.9		
T	-12.010705105	-76.955114725	454.6		
T	-12.010669251	-76.955028792	452.5		
T	-12.010579254	-76.954829843	443.5		
T	-12.010497267	-76.954592998	431.9		
T	-12.010417120	-76.954353722	419.3		
T	-12.010416322	-76.954228886	414.4		
T	-12.010524498	-76.954009986	411.1		
T	-12.010489186	-76.953821401	401.5		
T	-12.010435715	-76.953671111	392.7		
T	-12.010398101	-76.953488980	383.5		
T	-12.010304824	-76.953281240	371.0		
T	-12.010184283	-76.953011805	355.7		
T	-12.010123135	-76.952690436	341.8		
T	-12.010067446	-76.952298510	331.8		
T	-12.010041347	-76.952067878	329.5		
T	-12.010011350	-76.951838003	327.4		
T	-12.009986258	-76.951539092	325.6		
T	-12.009979305	-76.951439126	325.3		
T	-12.009963078	-76.951205809	324.5		
T	-12.009951482	-76.951039102	324.0		
T	-12.009917077	-76.950707341	322.9		
T	-12.009895794	-76.950508115	322.1		
T	-12.009891171	-76.950441302	321.9		
T	-12.009918620	-76.950305190	321.2		
T	-12.009907739	-76.950104353	320.4		
T	-12.009900485	-76.949970463	319.9		
T	-12.009889603	-76.949769624	319.0		
T	-12.009846065	-76.949637979	318.4		
T	-12.009838809	-76.949504048	317.9		
T	-12.009828455	-76.949336735	317.1		
T	-12.009818928	-76.949202970	316.6		
T	-12.009798945	-76.948834592	315.8		
T	-12.009785257	-76.948633839	315.4		
T	-12.009780432	-76.948566907	315.3		
T	-12.009761203	-76.948231986	314.5		
T	-12.009751703	-76.948064490	314.0		
T	-12.009704112	-76.947898864	313.7		
T	-12.009701808	-76.947865342	313.6		
T	-12.009690295	-76.947664252	313.1		
T	-12.009680701	-76.947496665	312.7		
T	-12.009673026	-76.947362586	312.9		
T	-12.009665351	-76.947228502	313.1		
T	-12.009656421	-76.947060944	313.3		
T	-12.009649383	-76.946926877	313.5		
T	-12.009638761	-76.946725747	313.7		
T	-12.009662474	-76.946523087	313.2		
T	-12.009685125	-76.946353834	312.7		
T	-12.009750091	-76.946183584	311.8		
T	-12.009813805	-76.946013437	310.9		
T	-12.009873882	-76.945743225	310.3		
T	-12.009902191	-76.945574759	310.9		
T	-12.009932709	-76.945473201	311.2		
T	-12.010001237	-76.945370670	311.2		
T	-12.009996049	-76.945204046	312.0		
T	-12.010054733	-76.944967838	312.7		
T	-12.010045459	-76.944767625	312.5		
T	-12.010107173	-76.944598455	312.0		
T	-12.010099368	-76.944431703	311.8		
T	-12.010197299	-76.944294980	311.2		
T	-12.010186644	-76.944061746	311.5		
T	-12.010212487	-76.943893932	312.0		
T	-12.010267896	-76.943658208	312.6		
